today,latitude,longitude,ip,type,tpm,tpm_type,informants
7/13/15,3.794961,42.529495,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.142087,45.126709,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.799958,42.544782,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.796554,42.539932,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.799383,42.545288,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,4.733576,45.207115,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,1.79382,44.368652,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.797862,42.54705,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.26662,42.566894,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,1.780506,44.375244,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,4.73073,45.204712,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.800237,42.547614,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.146225,45.119499,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.79861,42.545425,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.79829,42.543617,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.799543,42.54546,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,2.34145,42.311279,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.799886,42.545803,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,2.618991,44.893195,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.800044,42.544481,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,2.352427,42.344238,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,4.735431,45.205416,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,1.804892,44.380005,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.799201,42.54546,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.799958,42.5474,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,2.146231,45.118984,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.796554,42.550232,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.799917,42.545677,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.79966,42.544304,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,2.61912,44.893839,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,5.308321,45.879561,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,2.146358,45.120255,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,2.61912,44.893581,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,2.142272,45.113351,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,2.146911,45.118555,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,6.241785,46.307599,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,3.799574,42.542587,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/14/15,5.021817,46.914551,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
