date,longitude,latitude,ip,type,category,tpm_type,informants
7/20/15,42.54546,3.799757,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.547528,3.800108,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,40.99926,2.786681,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.544481,3.799916,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.544991,3.798975,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.546799,3.800128,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.54443,3.799928,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.544945,3.798772,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.544304,3.799403,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.546146,3.799029,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.546112,3.795869,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.545288,3.799543,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,41.992676,2.892935,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.543961,3.799403,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.061523,2.919634,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.54461,3.799822,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,41.963745,2.900158,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,41.037415,2.778954,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,41.001709,2.798158,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,41.035675,2.788305,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/20/15,42.544868,3.800079,UNICEF,,Cash Transfers,CC,Beneficiary Interview
